Iteration,vm_size,vm_num,cpu_single (Events/s),cpu_multi (Events/s),mem_read (MB/s),mem_write (MB/s),disk_io_reads_s (Reads/s),disk_io_writes_s (Writes/s),disk_io_read_speed (MiB/s),disk_io_write_speed (MiB/s)
1,1,1,4559.05,9148.38,,,,,,
2,1,1,4568.24,9112.19,,,,,,
3,1,1,4566.47,9118.37,,,,,,
4,1,1,4573.05,9127.04,,,,,,
5,1,1,4566.97,9130.88,,,,,,
6,1,1,4550.58,9107.06,,,,,,
7,1,1,4555.15,9095.38,,,,,,
8,1,1,4563.91,9084,,,,,,
9,1,1,4555.56,9081.36,,,,,,
10,1,1,4566.31,9094.34,,,,,,
1,2,1,4572.97,9012.79,,,,,,
2,2,1,4580.2,9028.91,,,,,,
3,2,1,4564.25,9024.94,,,,,,
4,2,1,4570.54,9029.5,,,,,,
5,2,1,4567.54,9029.18,,,,,,
6,2,1,4560.36,9026.36,,,,,,
7,2,1,4555.98,9007.96,,,,,,
8,2,1,4548.99,9026.87,,,,,,
9,2,1,4552.29,9029.54,,,,,,
10,2,1,4544.88,9031.29,,,,,,
1,2,2,4583.08,9021.78,,,,,,
2,2,2,4584.43,9033.13,,,,,,
3,2,2,4565.55,9013.71,,,,,,
4,2,2,4578.07,9040.39,,,,,,
5,2,2,4575.92,9028.53,,,,,,
6,2,2,4567.43,9034.61,,,,,,
7,2,2,4560.28,9036.46,,,,,,
8,2,2,4554.21,9024.02,,,,,,
9,2,2,4556.8,9040,,,,,,
10,2,2,4547.84,9044.31,,,,,,
1,3,1,4587.18,9028.74,,,,,,
2,3,1,4547.44,9026.43,,,,,,
3,3,1,4540.99,9027.63,,,,,,
4,3,1,4530.96,9028.84,,,,,,
5,3,1,4526.63,9015.72,,,,,,
6,3,1,4526.81,9024.53,,,,,,
7,3,1,4518.4,9026.06,,,,,,
8,3,1,4521.88,9019.3,,,,,,
9,3,1,4516.74,9005.2,,,,,,
10,3,1,4517.96,8973.92,,,,,,
1,3,2,4550.14,9033.65,,,,,,
2,3,2,4543.64,9039.23,,,,,,
3,3,2,4533.54,9042.85,,,,,,
4,3,2,4526.22,9041.14,,,,,,
5,3,2,4528.35,9034.7,,,,,,
6,3,2,4524.76,9035.81,,,,,,
7,3,2,4525.12,9025.91,,,,,,
8,3,2,4520.29,9015.7,,,,,,
9,3,2,4523.82,9005.04,,,,,,
10,3,2,4523.03,9191.59,,,,,,
1,3,3,4591.22,9031.36,,,,,,
2,3,3,4549.5,9027.26,,,,,,
3,3,3,4544,9033.25,,,,,,
4,3,3,4535.88,9027.14,,,,,,
5,3,3,4527.52,9030.34,,,,,,
6,3,3,4529.58,9034.2,,,,,,
7,3,3,4523.44,9037.11,,,,,,
8,3,3,4524,9034.18,,,,,,
9,3,3,4522.56,9007.36,,,,,,
10,3,3,4518.99,8991.85,,,,,,
